grade,GPA,lecture,nclicks
2.3951389397134566,1.1341088286410543,6,88
3.665159057908384,0.970881746160871,6,96
2.8527500825440817,3.343234954434223,6,123
1.3597001247426677,2.759576251332303,9,99
2.3133351224758005,1.0222221543244563,4,66
2.5828588202200766,0.8413324176033257,8,99
2.6946280420748345,4,5,86
3.0549095344297568,2.2949328022531628,7,118
3.210452062076465,3.3874843687278187,9,98
2.244190221760437,3.2666344783689505,10,115
3.1338539895986655,2.229187481866315,6,114
2.2259639176090618,1.7315937231232343,5,84
0,0.47289413681138504,3,95
3.627882542442446,1.5600287002146778,10,123
1.3405646094537018,2.751884503926943,9,115
2.0876289032070567,2.0010052116440904,5,101
0.4346967930406094,2.197168686366545,5,84
2.2624222652941905,2.7121565237594503,7,90
0.7232608649661656,2.890436163092935,5,83
3.353209504267607,1.809656699023237,8,102
3.8653283631351973,3.5056228638463174,8,121
2.7834847485925867,1.9056690893637667,2,85
3.701862933378886,2.4818013542876165,10,87
2.4481795981764116,2.450265275139452,7,81
2.7484218134752108,3.7482459239893875,8,110
1.5854671461891197,2.9709661566545034,9,100
2.448285415503201,2.9100298538281884,10,129
1.7412862435495713,0.9462394068937647,6,90
2.9308757335223583,2.399373787233691,5,96
2.8210166247882027,2.457595409744781,8,129
2.583163990532225,3.011058367096343,8,118
0.9659023429530273,1.746698568117637,7,94
2.5080683339278247,3.1387667167258178,6,113
3.849963448788586,3.3548880541348205,9,122
0.8822342932053322,1.5336613041614222,10,84
3.9024302680763903,1.7277751189617274,7,82
3.4712202265600514,1.7162994849871027,4,83
2.511566586459972,2.639059290986652,6,112
3.514698782713318,3.3294874795003793,7,89
2.829039746919695,2.6533664195610234,9,100
2.74713149474243,2.8562606509849102,4,84
2.744995551555774,2.9568736499393555,10,102
3.097730101408278,0.3793328316785676,4,111
2.978320589733364,2.4891590942649615,6,96
2.5125859170459437,2.535062496803647,9,103
2.894494546556051,4,9,77
1.815609433255406,2.2001744500437246,5,96
3.001164274461525,2.8021604291062823,8,112
3.8528217009801313,2.8347728784344683,10,76
2.049631252837878,1.1178988871959905,6,81
2.0300626070713794,1.0270266405332547,3,99
2.628110785992296,1.829885116151703,7,106
3.872675147525009,2.704488113756828,7,97
3.5678279915047177,1.6363599922341976,6,85
3.723507894443004,1.6461524596994654,6,88
2.504512142196275,1.9153413350746178,8,92
1.2359004117215537,3.449762210463468,9,122
2.9946270677078384,2.9535615350333515,7,110
2.394412543721235,3.7537036975801206,6,106
1.445109780550889,0.9303599407517309,6,83
2.4376733456904685,3.115223663519643,9,95
2.128414297132659,2.3039750776440364,7,119
2.861519660498448,1.7626460589216921,6,99
2.667203667592279,1.5447170902141907,4,54
1.9934927024609805,1.3665324385114919,5,116
2.7596577408662433,2.203213643510759,7,61
3.698427305334472,1.1520123441170218,7,103
0.9500709825449516,2.1250378042951246,8,96
2.5592971448991673,3.735134195353151,9,80
3.286187463991622,3.466420642865521,10,115
2.1222741163618126,3.394709832162224,8,106
2.540024136575452,1.821198914041545,7,84
4,2.492963194169094,10,127
1.439813945074357,2.686284979794827,3,109
2.4110543133682074,1.490047202080691,3,92
0,0.4014775813026903,3,67
2.5738293105771417,2.952442147760316,6,105
3.1142057177916804,1.853950137433018,3,79
2.1363495051057177,2.622657074660336,10,106
2.6817640771568696,2.207387994979199,8,110
3.3349287772398,1.754349357492206,9,105
1.6988011518988015,2.124653066917621,4,101
1.5526162845318443,1.5286636495035624,10,109
2.801960821596895,2.802735231608033,7,102
3.370767578179369,1.698652604947382,7,105
2.2348458809053184,1.4769582417418505,7,80
3.660145732235213,4,8,109
2.732827103735027,3.0817157438421665,10,94
2.268705620593344,3.1470495038519335,6,106
3.9933377009372477,2.227278111571648,7,105
2.9514552860040055,2.8082666078241614,8,88
3.7680715317582885,3.8783316697970487,7,120
3.2473375995293563,2.07603491174681,5,67
1.7682799939292293,3.3295325021688194,6,84
2.8944518256955907,4,9,102
4,4,9,84
2.773393467746894,3.5680158730703706,7,107
1.6120127582470842,2.3200362264095875,8,94
3.5397356459882467,2.8607765178689353,7,108
3.5275687244395977,2.8646434102781573,10,109
